Date : 2023-07-29 07:14:00
Directory : c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA
Total : 1658 files,  225047 codes, 61858 comments, 65014 blanks, all 351919 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\WEB-INF\ibm-web-ext.xml                                                                                       | XML             |         12 |          0 |          3 |         15 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\WEB-INF\web.xml                                                                                               | XML             |         84 |         11 |          1 |         96 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\contenedorReportes.xhtml                                                                            | HTML            |         45 |          0 |          9 |         54 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteArbitrosDisponiblesSorteo.xhtml                                                     | HTML            |        143 |          0 |         12 |        155 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteAspirantes.xhtml                                                                    | HTML            |         77 |          0 |          8 |         85 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteAudiencias.xhtml                                                                    | HTML            |        196 |          0 |         17 |        213 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteAudienciasProgramacionRefrigerios.xhtml                                             | HTML            |        129 |          0 |         18 |        147 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteAuxiliarPromedioTranscripciones.xhtml                                               | HTML            |        100 |          0 |         20 |        120 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCambioEstadoOperadores.xhtml                                                        | HTML            |        174 |          0 |         13 |        187 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasoCuantia.xhtml                                                                   | HTML            |        141 |          0 |         10 |        151 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasoParte.xhtml                                                                     | HTML            |        204 |          0 |         25 |        229 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasoSecretario.xhtml                                                                | HTML            |        150 |          0 |         18 |        168 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasosAceptadosRechazadosSecretario.xhtml                                            | HTML            |        158 |          0 |         28 |        186 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasosCerrados.xhtml                                                                 | HTML            |        173 |          0 |         25 |        198 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasosPendientesSorteoPublicoDesignacion.xhtml                                       | HTML            |        118 |          0 |         22 |        140 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasosPorArbitro.xhtml                                                               | HTML            |        222 |          0 |         17 |        239 |
