"filename", "language", "Java", "XML", "HTML", "Java Properties", "JavaScript", "CSS", "SQL", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\template\CartasPendientesValues.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 53
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\template\CorreoClaveValues.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 33, 8, 64
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\correos\template\TemplateParser.java", "Java", 47, 0, 0, 0, 0, 0, 0, 0, 0, 31, 8, 86
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\pdf\PlantillaIndicePDF.java", "Java", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 112
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\co\org\ccb\simasc\comun\pdf\RadicacionSolicitudPDF.java", "Java", 511, 0, 0, 0, 0, 0, 0, 0, 0, 14, 62, 587
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\conexion\ConexionDB.java", "Java", 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 77
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\implementacion\AccesoFacade.java", "Java", 96, 0, 0, 0, 0, 0, 0, 0, 0, 65, 22, 183
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\implementacion\DominioFacade.java", "Java", 308, 0, 0, 0, 0, 0, 0, 0, 0, 125, 78, 511
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\implementacion\IntegracionSWFacade.java", "Java", 369, 0, 0, 0, 0, 0, 0, 0, 0, 50, 63, 482
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\implementacion\RealizacionSorteoFacade.java", "Java", 494, 0, 0, 0, 0, 0, 0, 0, 0, 151, 85, 730
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\interfaces\IAccesoFacade.java", "Java", 33, 0, 0, 0, 0, 0, 0, 0, 0, 117, 24, 174
